"ZIP","COUNTYNAME","STATE","county_name_norm","dem_votes","rep_votes","dem_pct","rep_pct","dem_lead"
"63381","Lincoln County","MO","lincolncounty, MO",5575,18159,0.234895087216651,0.765104912783349,-0.530209825566698
"63381","Montgomery County","MO","montgomerycounty, MO",1119,4127,0.213305375524209,0.786694624475791,-0.573389248951582
"63381","Warren County","MO","warrencounty, MO",3915,11111,0.260548382803141,0.739451617196859,-0.478903234393718
"63382","Audrain County","MO","audraincounty, MO",2570,6981,0.269081771542247,0.730918228457753,-0.461836456915506
"63382","Pike County","MO","pikecounty, MO",1806,5274,0.255084745762712,0.744915254237288,-0.489830508474576
"63382","Ralls County","MO","rallscounty, MO",1138,3969,0.222831407871549,0.777168592128451,-0.554337184256902
"63383","Lincoln County","MO","lincolncounty, MO",5575,18159,0.234895087216651,0.765104912783349,-0.530209825566698
"63383","Warren County","MO","warrencounty, MO",3915,11111,0.260548382803141,0.739451617196859,-0.478903234393718
"63384","Audrain County","MO","audraincounty, MO",2570,6981,0.269081771542247,0.730918228457753,-0.461836456915506
"63384","Callaway County","MO","callawaycounty, MO",4989,13057,0.276460157375596,0.723539842624404,-0.447079685248809
"63384","Montgomery County","MO","montgomerycounty, MO",1119,4127,0.213305375524209,0.786694624475791,-0.573389248951582
"63385","St. Charles County","MO","stcharlescounty, MO",68626,121650,0.360665559503038,0.639334440496962,-0.278668880993925
"63386","St. Charles County","MO","stcharlescounty, MO",68626,121650,0.360665559503038,0.639334440496962,-0.278668880993925
"63387","Lincoln County","MO","lincolncounty, MO",5575,18159,0.234895087216651,0.765104912783349,-0.530209825566698
"63388","Callaway County","MO","callawaycounty, MO",4989,13057,0.276460157375596,0.723539842624404,-0.447079685248809
"63389","Lincoln County","MO","lincolncounty, MO",5575,18159,0.234895087216651,0.765104912783349,-0.530209825566698
"63390","Lincoln County","MO","lincolncounty, MO",5575,18159,0.234895087216651,0.765104912783349,-0.530209825566698
"63390","Warren County","MO","warrencounty, MO",3915,11111,0.260548382803141,0.739451617196859,-0.478903234393718
